MLCX - Carteira do Dia 21/10/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.394.835.131;2,665;
B3SA3;B3;ON      NM;5.511.401.013;2,763;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,015;
BBDC3;BRADESCO;ON      N1;1.484.426.957;0,932;
BBDC4;BRADESCO;PN      N1;5.129.958.973;3,699;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,571;
BRFS3;BRF SA;ON      NM;814.523.002;0,934;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,007;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,352;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,175;
CCRO3;CCR SA;ON      NM;991.920.937;0,569;
CMIG3;CEMIG;ON      N1;469.002.659;0,314;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,966;
CPLE3;COPEL;ON      N2;1.300.330.190;0,545;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,782;
CSAN3;COSAN;ON      NM;1.165.337.843;0,648;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,288;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,310;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,515;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,533;
EMBR3;EMBRAER;ON      NM;734.632.601;1,659;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,669;
ENEV3;ENEVA;ON      NM;1.579.821.370;1,072;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,497;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,903;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,076;
GMAT3;GRUPO MATEUS;ON      NM;462.506.420;0,159;
NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,596;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,846;
HYPE3;HYPERA;ON      NM;409.310.634;0,495;
ITSA4;ITAUSA;PN      N1;5.504.638.590;2,749;
ITUB3;ITAUUNIBANCO;ON      N1;402.586.896;0,578;
ITUB4;ITAUUNIBANCO;PN      N1;4.791.715.383;7,958;
JBSS3;JBS;ON      NM;1.142.696.472;1,867;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,746;
RENT3;LOCALIZA;ON      NM;977.700.485;1,944;
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,825;
MULT3;MULTIPLAN;ON      N2;318.010.631;0,388;
NEOE3;NEOENERGIA;ON      NM;195.036.523;0,177;
PETR3;PETROBRAS;ON      N2;3.514.947.134;6,680;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,682;
PRIO3;PETRORIO;ON      NM;798.909.771;1,586;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,317;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,516;
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,163;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,614;
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,099;
SBSP3;SABESP;ON      NM;683.508.570;2,931;
SANB11;SANTANDER BR;UNT EDJ;356.586.730;0,481;
CSNA3;SID NACIONAL;ON;736.268.400;0,404;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,656;
VIVT3;TELEF BRASIL;ON;407.257.128;1,051;
TIMS3;TIM;ON      NM;807.495.418;0,671;
TOTS3;TOTVS;ON      NM;540.206.440;0,725;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,456;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,067;
VALE3;VALE;ON      NM;4.270.903.023;12,173;
VBBR3;VIBRA;ON      NM;1.023.392.529;1,089;
WEGE3;WEG;ON      NM;1.482.105.837;3,852;
Quantidade Teórica Total;;;87.280.804.461;100,000
Redutor;;;800.772.622,06999984
